date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:03	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Dec%202023%2015:30:01%20GMT	https://id.yugih5.com/robots.txt		(from )
22:30:03	8804/8804	---MCZ	200	added ('OK')	text/html	etag:W/%22658b86b3-2264%22	https://id.yugih5.com/	C:/My%20Web%20Sites/bbb/id.yugih5.com/index.html	(from )
22:30:04	46597/46597	---M--	200	added ('OK')	image/png	etag:%225a02ca18-b605%22	https://id.yugih5.com/res/favicon.png	C:/My%20Web%20Sites/bbb/id.yugih5.com/res/favicon.png	(from https://id.yugih5.com/)
22:30:05	75050/75050	---MCZ	200	added ('OK')	text/css	etag:W/%22658b86b3-1252a%22	https://id.yugih5.com/css/style.css	C:/My%20Web%20Sites/bbb/id.yugih5.com/css/style.css	(from https://id.yugih5.com/)
22:30:05	45826/45826	---M--	200	added ('OK')	application/javascript	etag:%22658b86b3-b302%22	https://id.yugih5.com/js/index.js	C:/My%20Web%20Sites/bbb/id.yugih5.com/js/index.js	(from https://id.yugih5.com/)
22:30:05	554457/554457	---M--	200	added ('OK')	image/png	etag:%22856768090422aa18ae2958c2f026d44f%22	https://i.imgur.com/wUJpa4q.png	C:/My%20Web%20Sites/bbb/i.imgur.com/wUJpa4q.png	(from https://id.yugih5.com/)
22:30:05	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%22658b86b3-15283%22	https://id.yugih5.com/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/bbb/id.yugih5.com/js/jquery-3.2.1.min.js	(from https://id.yugih5.com/)
22:30:05	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%227d90ae36ff35b117c1d6a2faf7930294%22	https://connect.facebook.net/vi_VN/sdk.js	C:/My%20Web%20Sites/bbb/connect.facebook.net/vi_VN/sdk.js	(from https://id.yugih5.com/)
22:30:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2028%20Dec%202023%2015:30:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/bbb/www.googletagmanager.com/gtm.65445.delayed	(from https://id.yugih5.com/)
22:30:07	1339818/1339818	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Dec%202023%2009:18:48%20GMT	https://yugih5.vcdn.vn/res/loading_4f44220947027ce46fe7f66f3cff6f59_MD5ED.js	C:/My%20Web%20Sites/bbb/yugih5.vcdn.vn/res/loading_4f44220947027ce46fe7f66f3cff6f59_MD5ED.js	(from https://id.yugih5.com/)
